work	source	n_chunks	ling_est	nb	na	post_median	crI_lo95	crI_hi95	title
SA_GV01_rv_hn07u	anchor	17	-1232	-1500.0	-1000.0	-1127	-1382	-872	Ṛgveda: Maṇḍala 7
SA_GV01_rv_hn01u	anchor	41	-1242	-1500.0	-1000.0	-1127	-1384	-868	Ṛgveda: Maṇḍala 1
SA_GV01_rv_hn05u	anchor	15	-1242	-1500.0	-1000.0	-1126	-1387	-862	Ṛgveda: Maṇḍala 5
SA_GV01_rv_hn04u	anchor	12	-1251	-1500.0	-1000.0	-1126	-1387	-869	Ṛgveda: Maṇḍala 4
SA_GV01_rv_05_u	anchor	15	-1228	-1500.0	-1000.0	-1125	-1386	-871	Ṛgveda 5
SA_GV01_rv_hn09u	anchor	22	-1230	-1500.0	-1000.0	-1124	-1387	-863	Ṛgveda: Maṇḍala 9
SA_GV01_rv_hn03u	anchor	12	-1242	-1500.0	-1000.0	-1124	-1390	-858	Ṛgveda: Maṇḍala 3
SA_GV01_rvh1-10u	anchor	211	-1209	-1500.0	-1000.0	-1124	-1380	-867	Ṛgveda
SA_GV01_rv_hn06u	anchor	16	-1235	-1500.0	-1000.0	-1124	-1396	-871	Ṛgveda: Maṇḍala 6
SA_GV01_rv_hn10u	anchor	35	-1214	-1500.0	-1000.0	-1122	-1388	-861	Ṛgveda: Maṇḍala 10
SA_GV01_rv_04_u	anchor	12	-1239	-1500.0	-1000.0	-1122	-1384	-851	Ṛgveda 4
SA_GV01_rv_06_u	anchor	16	-1196	-1500.0	-1000.0	-1122	-1368	-857	Ṛgveda 6
SA_GV01_rv_01_u	anchor	40	-1192	-1500.0	-1000.0	-1121	-1375	-862	Ṛgveda 1
SA_GV01_rv_hn02u	anchor	9	-1208	-1500.0	-1000.0	-1120	-1377	-866	Ṛgveda: Maṇḍala 2
SA_GV01_rv_09_u	anchor	22	-1189	-1500.0	-1000.0	-1119	-1378	-850	Ṛgveda 9
SA_GV01_rv_hn08u	anchor	34	-1198	-1500.0	-1000.0	-1118	-1380	-864	Ṛgveda: Maṇḍala 8
SA_GV01_rv_10_u	anchor	35	-1145	-1500.0	-1000.0	-1113	-1370	-860	Ṛgveda 10
SA_GV01_rv_07_u	anchor	16	-1171	-1500.0	-1000.0	-1113	-1369	-860	Ṛgveda 7
SA_GV01_rv_02_u	anchor	9	-1170	-1500.0	-1000.0	-1111	-1382	-848	Ṛgveda 2
SA_GV01_rv_03_u	anchor	12	-1159	-1500.0	-1000.0	-1109	-1372	-843	Ṛgveda 3
SA_GV00_samavedu	anchor	38	-1233	-1200.0	-1000.0	-1083	-1195	-965	Sāmaveda-Saṃhitā
SA_GV00_avs___u	anchor	115	-1119	-1200.0	-800.0	-947	-1151	-727	Atharvaveda-Saṃhitā
